	hpo_chinese_name
哭泣性癫痫	1
线粒体呼吸链活性增加	1
面部形状异常	1
线粒体脑病	1
轻度全面发育延迟	1
神经元形态异常	1
肠道淋巴结节性增生	1
肌肉组织中线粒体DNA消耗	1
侧脑室扩张	1
软腭裂	1
睾丸发育不全	1
协调能力下降	1
跖部角化过度	1
泛发性鱼鳞病	1
脊柱发育不良	1
胰腺炎	1
血浆肉碱降低	1
IX凝血因子活性降低	1
盘状红斑狼疮	1
内分泌系统的肿瘤	1
旋转性癫痫	1
脑发育不全	1
睾丸大小异常	1
毛发数量异常	1
视神经发育缺陷/不全	1
性早熟	1
先天性甲状腺功能减退症	1
睡眠障碍	1
血液尿素氮（BUN）升高	1
脓毒症	1
偶发的神经纤维瘤	1
间质性肺炎	1
线粒体遗传	1
体重减轻	1
联合免疫缺陷	1
凝血酶原异常	1
头发稀少	1
心源性休克	1
视神经病变	1
多发性肾小球囊肿	1
毛发生长速度的异常	1
房间隔异常	1
呆滞性癫痫发作	1
细长指(趾)	1
脊髓病变	1
发育倒退	1
肾发育不良	1
肾脏位置异常	1
消化道出血	1
线粒体功能障碍引起的肌异常	1
氨基酸代谢异常	1
站立困难	1
脑电图，周期性一侧性癫痫样放电	1
强迫特质	1
形状异常线粒体肌膜下积累	1
室管膜下囊肿	1
四肢色素缺失	1
甲硫氨酸代谢异常	1
腹胀	1
红细胞原卟啉浓度增高	1
面部骨骼异常	1
线粒体呼吸链活性异常	1
口腔干燥	1
脊柱发育不全或发育低下	1
恶心	1
宽基步态	1
肌内水肿	1
局灶性发作伴有意识障碍	1
搏动性耳鸣（鼓室副神经节瘤）	1
颅缝闭合延迟	1
进行性肌无力	1
乳糖不耐受	1
复发性自然流产	1
喉发育不全	1
遗尿症	1
T细胞急性淋巴细胞白血病	1
呼吸机依赖无法脱机	1
鸟氨酸尿症	1
粘膜疹	1
全身毛发脱失	1
大肠炎症	1
眉毛异常	1
毛发角化过度	1
线粒体DNA耗竭	1
脱屑性皮肤	1
线粒体数目增加	1
高胰岛素性低血糖	1
植物神经性癫痫	1
阴茎异常	1
肢体共济失调	1
下肢疼痛	1
脊髓性肌阵挛	1
短肢	1
凝血酶诱导的血小板聚集障碍	1
睡时遗尿	1
混合性肝硬化	1
毛发稀疏	1
第二性征缺乏	1
心室肥厚	1
远端肾小管性酸中毒	1
牙齿过早脱落	1
运动不协调	1
嗜铬细胞瘤相关的高血压	1
先天性二尖瓣狭窄	1
手肌无力	1
运动引起的肌肉僵硬	1
长骨细长	1
肌酸磷酸激酶极度上升	1
言语不清	1
中性粒细胞异常	1
中性粒细胞的数量异常	1
呼吸窘迫	1
哭时脸不对称	1
痉挛性四肢瘫	1
非椭圆形细胞性溶血性贫血	1
铁紊乱	1
急性淋巴性白血病	1
耳鸣	1
局灶性运动性癫痫发作	1
皮层下白质片状脱髓鞘	1
肾髓质异常	1
4-羟基苯丙酮酸尿症	1
神经内分泌肿瘤	1
牙齿数目异常	1
颈肌无力	1
眼球震颤	1
呼吸功能不全	1
肝脏铁浓度异常	1
提上唇肌异常	1
自身免疫性中性粒细胞减少	1
紫绀	1
血管瘤	1
睡眠-觉醒周期紊乱	1
慢性腹泻	1
半乳糖不耐受	1
甲发育缺陷/不全	1
胼胝体发育不全	1
颅缝异常	1
便血	1
局灶性自主神经癫痫发作不伴反应改变	1
弥漫性掌跖角化过度	1
脊柱曲线逆转	1
少动型癫痫发作	1
双侧隐睾	1
脑缺血	1
慢而含混不清的语言	1
多发性髓质小肾囊肿	1
先天性肾病综合征	1
低钙血症	1
线粒体抗体阳性	1
阵发性低钾血症	1
体温不稳定	1
先天性毛发分布异常	1
继发性唇腭裂	1
Ⅶ凝血因子活性降低	1
痴呆	1
临床调节因素	1
脸部异常	1
血红蛋白异常	1
肢体疼痛	1
修长的手指	1
毛发生长缓慢	1
中枢神经系统神经元损失	1
强直	1
丙酮酸羧化酶活性降低	1
近视	1
增加的炎症反应	1
急性呼吸性酸中毒	1
大脑皮质中神经元损失	1
线粒体肌病	1
骨髓细胞形态异常	1
凝血因子XIII A亚基缺陷	1
肾脏微小钙质沉着症	1
左心室异常	1
自主神经系统生理功能异常	1
多个线粒体DNA缺失	1
出血异常	1
近端肾小管酸中毒	1
上肢疼痛	1
线粒体复合物III活性降低	1
重症联合免疫缺陷	1
肾上腺发育缺失	1
身高异常	1
髋关节脱位	1
小细胞性贫血	1
性腺组织发育不良，与外生殖器或染色体性别不相配	1
肛门闭锁	1
血促肾上腺皮质激素（ACTH)水平增加	1
四肢轻瘫	1
XII凝血因子活性降低	1
反应性低血糖	1
近端肾小管病	1
皮下出血	1
蚕豆引起的溶血性贫血	1
肌肉组织中的线粒体异常	1
凝血因子XIII B亚基缺陷	1
左心室流出道异常	1
淋巴结异常	1
高氨血症	1
先天性左心室肥厚	1
线粒体形态异常	1
胸廓异常	1
单侧隐睾	1
搏动性耳鸣	1
眩晕	1
不自主眼球运动异常	1
肾小管功能障碍	1
白质神经元异位	1
视神经异常	1
双侧肾发育不全	1
眼部白化病	1
丙酰辅酶A羧化酶缺乏	1
全面性强直-阵挛发作	1
视神经发育异常	1
白细胞计数异常	1
运动神经元萎缩	1
脚踝异常	1
漏斗胸	1
新生儿期发病	1
呼吸肌无力	1
侧脑室异常	1
精氨酸尿	1
低钾性碱中毒	1
中枢神经系统的髓鞘化延迟	1
低促性腺激素水平（继发性腺功能低下）	1
乳酸血症	1
凝血因子VIII及VWF结合受损	1
心跳呼吸骤停	1
原发性唇腭裂	1
小睾丸	1
幻听	1
脑电图，过度换气诱发的局灶癫痫样放电	1
肾上腺增生	1
脑出血	1
掌跖角化症	1
分泌性腹泻	1
红斑丘疹	1
舌神经异常	1
反复呼吸道感染	1
皮肤生理异常	1
典型的失神发作	1
过敏	1
手指弯曲	1
甲状腺发育异常	1
肺动脉高压	1
舌肌异常	1
白化病	1
X凝血因子活性降低	1
声音异常	1
轻度智力残疾	1
线粒体代谢异常	1
失神发作伴特定特征	1
额叶脑膨出	1
左心室心肌致密化不全	1
非中线腭裂	1
脱髓鞘性运动神经病	1
肾发育不全	1
局灶性自主神经癫痫发作	1
不对称性周围神经脱髓鞘	1
有机酸尿症	1
下运动神经元的异常	1
上呼吸道异常	1
口腔粘膜水泡	1
正中腭裂	1
间歇性黄疸	1
低钠血症	1
胆囊发育不良	1
色素脱失斑	1
先天性颅面骨发育不全	1
慢性酸中毒	1
协调异常	1
新生儿高非结合胆红素血症	1
肝组织线粒体复合物III活性降低	1
总免疫球蛋白A缺乏症	1
中枢性甲状腺功能减退症	1
线粒体呼吸链活性降低	1
膀胱括约肌功能障碍	1
高胆固醇血症	1
进行性脑白质病	1
新生儿呼吸调节异常	1
食管闭锁	1
XIII凝血因子活性降低	1
瘙痒	1
多囊性肾发育不良	1
